,Name,cleaned_lyrics,Genre
90860,Beautiful Day,"Beautiful Day The heart bloom Shoots stoney ground There's room No space rent town You're luck And reason care The traffic stuck And you're moving anywhere You thought you'd found friend To take place Someone could lend hand In return grace It's beautiful day Sky falls, feel like It's beautiful day Don't let get away You're road But you've got destination You're mud In maze imagination You love town Even doesn't ring true You've And it's It's beautiful day Don't let get away It's beautiful day Ooh-hoo-hoo Touch Take place Teach know hopeless case See world green blue See China right front See canyons broken cloud See tuna fleets clearing sea See Bedouin fires night See oil fields first light And see bird leaf mouth After flood colours came It's beautiful day Don't let get away Beautiful day Touch Take place Reach know hopeless case What don't don't need What don't know feel somehow What don't don't need Don't need Was beautiful day","Indie Rock,Adult Alternative,Adult Contemporary,Rock"
51615,Viva La Vida,"Viva la Vida used rule world Seas would rise gave word Now morning sleep alone Sweep streets used used roll dice Feel fear enemy's eyes Listen crowd would sing Now old King dead, long live King One minute held key Next walls closed And discovered castles stand Upon pillars salt pillars sand hear Jerusalem bells a-ringing Roman Cavalry choirs singing Be mirror, sword shield My missionaries foreign field For reason can't explain Once you'd gone never Never honest word And ruled world It wicked wild wind Blew doors let Shattered windows sound drums People couldn't believe I'd become Revolutionaries wait For head silver plate Just puppet lonely string Oh would ever want king? hear Jerusalem bells a-ringing Roman Cavalry choirs singing Be mirror, sword shield My missionaries foreign field For reason can't explain know Saint Peter won't call name Never honest word But ruled world hear Jerusalem bells a-ringing Roman Cavalry choirs singing Be mirror, sword shield My missionaries foreign field For reason can't explain know Saint Peter won't call name Never honest word But ruled world","Pop,Adult Alternative,Adult Contemporary,Pop-Rock,Chamber Music,Baroque Pop,British Rock,Soundtrack,Alternative,UK,Alternative Rock,Rock"
38819,Super Bass,"Super Bass This one boys booming system Top down, AC cooler system When come club, blazing Got stacks deck like saving And ill, real, might gotta deal He pop bottles got right kind build He cold, dope, might sell coke He always air, never fly coach He muthafuckin trip, trip, sailor ship, ship When make drip, drip, kiss lip, lip That's kinda dude looking And yes, you'll get slapped you're lookin', ho said, excuse you're hell guy mean my, my, my, you're like pelican fly mean, you're shy loving tie You're like slicker guy thing eye, oh Yes did, yes Somebody please tell em eff Nicki Minaj, mack dudes up, back coupes up, chuck deuce Boy, got heartbeat running away Beating like drum it's coming way Can't hear boom, badoom, boom, boom, badoom, boom, bass? He got super bass Boom, badoom, boom, boom, badoom, boom, bass Yeah, that's super bass Boom, boom, boom, boom Boom, badoom, boom, boom, badoom, boom, bass, got super bass Boom, badoom, boom, boom, badoom, boom, bass, got super bass Yo, yo This one boys polos Entrepreneur niggas moguls He could ball crew, could solo But think like better dolo And think like better fitted cap He ain't even gotta try put mack He gotta give look, give look Then panties coming off, off, uh Excuse me, you're hell guy You know, really got thing American guys mean, sigh, sickening eyes tell you're touch feminine side, uh Yes did, yes Somebody please tell eff Nicki Minaj, mack dudes up, back coupes up, chuck deuce Boy, got heartbeat running away Beating like drum it's coming way Can't hear boom, badoom, boom, boom, badoom, boom, bass? He got super bass Boom, badoom, boom, boom, badoom, boom, bass Yeah, that's super bass Boom, boom, boom, boom... Boom, badoom, boom, boom, badoom, boom, bass, got super bass Boom, badoom, boom, boom, badoom, boom, bass, got super bass See, need life stay No, no, no, no, know you'll stay No, no, no, no, no, don't go away Boy, got heartbeat running away Don't hear heartbeat coming way? Oh, like, boom, badoom, boom, boom, badoom, boom, bass Can't hear boom, badoom, boom, boom, badoom, boom, bass? Boy, got heartbeat running away Beating like drum it's coming way Can't hear boom, badoom, boom, boom, badoom, boom, bass? He got super bass Boom, badoom, boom, boom, badoom, boom, bass Yeah, that's super bass Boom, boom, boom, boom... Boom, badoom, boom, boom, badoom, boom, bass, got super bass Boom, badoom, boom, boom, badoom, boom, bass, got super bass","Pop,Rap"
41885,Smoke A Little Smoke,"Smoke Little Smoke Turn quiet up, turn noise Let ol' world spin around wanna feel swing, wanna feel sway And put feel good soul Drink little drink, smoke little smoke Want little right, little less left Little right now, little less what's next Act like tomorrow's ten years away And kick back let feeling flow Drink little drink, smoke little smoke set sails new direction But wind got way changed course But definition change Just ain't gonna sit right Stay away gonna make pretend don't care And could get Go get back Or maybe I'll let go Drink little drink, smoke little smoke ah come Go get back ohhh Drink little drink, smoke little smoke Drink little drink smoke little, smoke You guys put hands together like Kick back, gives blues spin Break wine, forget Dig deep, find stash Fire up, take back Kick back, gives blues spin Break wine, forget Dig deep, find stash Fire up, memory crash Oh no, don't know Baby, might take, night Then I'll maybe break old rock roll Drink little drink, smoke little smoke Lets stay and.. Drink little drink, smoke little smoke","Country,Rock"
3802,Mess,"Mess Because days mess My nights mess, life mess My life mess happiness Lust, sex, obsession, desire love Fuck it, bae mess My side bitch mess, wifey mess guess, bae obsessed My side bitch possessed, wifey careless But gon' excuse mess She gon' excuse ex I'ma excuse pets She gon' juicy wet gon' ride Tune Express I'ma excuse text She gon' exclude rest She gon' tell dudes step Nigga, left, nigga, left Messy, messy Percocets Smoking purple veggie, that's herbal essence With curvy, sexy woman hurting extra cause working extra heard lecture, swerved questions And reserved section bunch bitches prefer pleasure It's quarter-to-seven They heard shower water running morning Dirty Devil, mess But sorry babe, gotta let go Now feel like death row She don't believe ghosts til get ghost And hear teardrops echo Her teardrops turn XO Put shoes got tiptoe 'Cause days mess My nights mess, life mess My life mess My life mess happiness Lust, sex, obsession, desire love But fuck it, one's, bae mess My side bitch mess, wifey mess guess, bae obsessed My side bitch possessed, wifey careless But gon' excuse mess Yes, pressure, it's jungle Fell love stripper, Lord, know got bills But I'ma make rain see flood ideas Got feelings without knowing feel mess And talking staying And ask could call clan over? say that's shit asshole-ing Now fast forward til morning time Broken glasses bunch ashes, makeup, lashes Out place mattress, shit happens cause days mess sorry babe, gotta let go Now feel like death row She don't believe ghosts til get ghost And hear teardrops echo Her teardrops turn Petrol Put shoes got tiptoe 'Cause days mess My nights mess, life mess My life mess My life mess happiness Lust, sex, obsession, desire love But fuck it, one's, bae mess My side bitch mess, wifey mess guess, bae obsessed My side bitch possessed, wifey care less But gon' excuse mess Yes, fuck it, ones, fuck it, ones Fuck ones, fuck it, ones I'm​ making mess ones Fuck it, ones, fuck it, ones My life mess happiness Lust, sex, obsession, desire love But fuck it, one's","Trap,East Coast,Rap"
50175,Next To You,"Next You J-J-J-J-J.R. Girl gotta next {*2X*} + Mike Jones + {BOTH} waiting, anticipating For baby cause gotta next And wanting, cause got Boy got cause gotta next Ayyyy! {Baby mind} {Long spending time girl} cause gotta next {Baby mind} {Long spending time girl} cause gotta next ain't trippin limelight Cause shorty keep mind right When mall, fill shopping bags She love pop tags, love drive Jag Whenever alone, throw away phone Cause don't want interuptions goin strong My baby, baby, don't bullshit My baby, baby, know keep full clip That's I, let hi-side 745 Thats I, take pride slide thighs My baby boo true, know hold So get time, spend now, YEAH! My lil' momma know game go She know it's bout money know daddy gotta go She know it's bout paper paper gon' get Bring back crib, paper gon' split She understand do, trust keep true Even though leave lonely knows love While hot gotta get it, gotta stay grind And already know home, take time - love cuddle up, love make blush Girl can't get enough, cause gotta next Love cuddle up, love make blush Girl can't get enough, cause gotta next Now knowwww That daddy gotta go get knowwww That get time spend knowwww, gon' always around So I'll let hit ex outta town, yeahhh And knowww That lil' momma gon' hold big daddy knowww That gon' make smile frown And knowww That shorty's friend That's ride wit til end, yeahhh Heyyyyyyy",Rap
71903,One Thing,One Thing Restless tonight Cause wasted light Between times drew really thin line It's nothing planned And But mine Across line If traded If gave away one thing Just one thing If sorted If knew one thing Wouldn't something promise might Not walk Maybe next time But time Even though know don't want know Yeah guess know hate sounds Even though know don't want know Yeah guess know hate sounds Even though know don't want know Yeah guess know hate sounds,Rock
15670,Exchange,"Exchange This happen think bout get feelings, yeah start reminiscing, yeah Next time around, fuck, want different, yeah Waiting sign, guess it's time different prayer Lord, please save me, one favor change player ways, got way complicated hope she's waiting Everywhere go playing song That's say things say That way know can't ignore But so, Yeah So give exchange Just give exchange me, Break down, yeah Yes sir Check We used lay stay Have sex blow dank shouldn't played games you, leveled-up rank Last time saw ain't speak, strange Guess it's nothing do, man, it's true, exes change, yeah Aye, guess changed better better! know know make jealous never loyal, let tell it, yo But ready fix ready, baby But so, Yeah So give exchange Just give exchange me, For real shawty You already know Yeah, Two Keys Tin Roof? Turn young Tiller, getting loose Maybe lowkey feeling you, don't cynical Won't fuck over, wanna fuck The truth ain't really start problems Girl, swear God hoes can't never say got Know bad wanna tell em, don't try him"" don't wanna tell em, let's surprise em don't wanna get – stressing him? I've drivin' Back forth, Louisville Lexington, mileage On whip, got ass grip College make wanna strip dollars Nah girl, got job you, swear God lot Saw strolling campus, stop scrolling gram, girl, follow Say what's you? You got soul","Boom Bap,Singer-Songwriter,Dark Pop,Soul Pop,Hardcore Hip-Hop,Conscious Hip-Hop,Pop,Dancehall,Soul,Trap,Rap,R&;B"
17798,Say It,"Say It Just keeping honest You wouldn't want young nigga wasn't whipping foreign That's came back, top You gon' say You gon' less Lil mama know show Always want prove You gon' say You gon' less Lil mama know show So gon' need prove And know, know And know, foreign car, let go And know, know And know, foreign car, let know How know want you? And want me? But know You know know ain't right Cause want cause got dough Ever since walked inside foreign, slam door You know know But low So let young nigga get it, yeah Love spin round it, yeah Even though young nigga want Shawty, promise truth And come it, yeah You love it, yeah Fuck around, spend time it, yeah That's came back top You gon' say You gon' less Lil mama know show Always want prove You gon' say You gon' less Lil mama know show So gon' need prove And know, know And know, foreign car, let go And know, know And know, foreign car, let know Gots break let know You know it's things know Ain't gon' act like ain't bout dough You know know, girl, know Take time find Won't hesitate take time waste, no, baby Bringing foreign play You know it's things takes So let young nigga get it, yeah Love spin round it, yeah Even though young nigga want Shawty, promise truth And come it, yeah You love it, yeah Fuck around, spend time it, yeah That's came back top You gon' say You gon' less Lil mama know show Always want prove You gon' say You gon' less Lil mama know show So gon' need prove And know, know And know, foreign car, let go And know, know And know, foreign car, let know Say it, baby, it, baby Show it, baby, prove it, baby Say it, baby, it, baby Show it, baby, prove it, baby All trying say wanna see body move different ways All wanna come close You make come through, get close","Alternative R&;B,Trap,Rap,Canada,R&;B"
36522,A Thousand Years,A Thousand Years Heart beats fast Colors promises How brave? How love afraid fall But watching stand alone? All doubt suddenly goes away somehow One step closer died everyday waiting Darling don't afraid loved For thousand years I'll love thousand Time stands still Beauty brave let anything take away What's standing front Every breath Every hour come One step closer died everyday waiting Darling don't afraid loved For thousand years I'll love thousand And along believed would find Time brought heart loved thousand years I'll love thousand One step closer One step closer died everyday waiting Darling don't afraid loved For thousand years I'll love thousand And along believed would find Time brought heart loved thousand years I'll love thousand,"Screen,Pop,Soundtrack"
80918,Po' Folks,"Po' Folks Awwww.... Mmmmm, awww.. All life po' But really don't matter mo' And wonder act way Nappy Boys gon' okay All life po' But really don't matter mo' And wonder act way Nappy Roots gon' okay, okay We came game, plain ya see Average man rest ashamed Nappy head all, ain't changing Ooooh-oh-oh-oooh-oh-oh... So rough was, downright wrong tell ya Nobody never gave us nothing tough time made us somethin Different stretch road, new something see Every state map, different something eat Daps handshakes, meant nutting real Everybody making killing man, showing feelins Walking collecting pay, it's way world Can't change it, guess gon' pray world Sometimes ask myself, made world? scream you, say world Nappy then, Nappy - Nappy bit Knee-deep, head heels country shit! All life po' But really don't matter mo' And wonder act way Nappy Boys gon' okay All life po' But really don't matter mo' And wonder act way Nappy Roots gon' okay, okay Even though picture better days thankful chance got say amen The Lord done blessed grace, wish day would never end We represent slums, from, feel bump Polish shot presidents, hardtimes go come Some take off, without chance, make Who woulda thought Skinny'd one that's, making call Lord, help out, tell went wrong tryna find righteous path, although it's, never long gotta sons, telling me, Daddy strong"" We gon' make hardtimes Even though go come Ya absolutely right, something happen last Tuesday night It's plain day, man World Trade Naw brave order confoldure Better make home nothing seems matter That's when, see, everything go - way They got fooled, see Henny J Front po'ch, chilling broke, country folk, Nappy ways yo All life po' But really don't matter mo' And wonder act way Nappy Boys gon' okay All life po' But really don't matter mo' And wonder act way Nappy Roots gon' okay, okay It's blessing woke mornin' All colored folk stressin', come let's join hands Got cope pressures po' man Poppa taught order, survive man Nappy blossomed Roots, course gon' stand Prophit grew juvenile grown man Ya gotta take responsibility ya man Zonin, two blunts mo'nin, sunrise sometimes love hear woman moanin', it's Damn hope play song The soul cleansin', melody rev engine Not lot things usually appendin', lately Been searching Benjamins, saw folks locked tenements And don't make sense children sentencin' Broadcasting slums, that's writing sentences Just lower income, though ain't finish All life po' But really don't matter mo' And wonder act way Nappy Boys gon' okay All life po' But really don't matter mo' And wonder act way Nappy Roots gon' okay, okay",Rap
85620,Rock The Boat,"Rock Boat Mhmm, yeah, mhmm Huh, uh, huh, uh Ooh, yeah Boy know make float Boy really get high ooh feel like dope 'Cause you, serve regular serve regular Boy, gotta stroke ooh Before drifting deeper drifting deeper Baby hold close Let's take overboard want rock boat Rock boat mhm Rock boat, rock boat Work middle, work middle Work middle, work middle Change positions, new positions New positions ooh, new positions Now stroke baby Stroke me, stroke Stroke me, stroke Ooh baby love stroke 'Cause you, cause get going cause get going In jury you'll get vote Cause believe mmm believe know Baby, coast let's coast, let's coast Please don't get hurry oh, That's slow hey Go ahead put thing overdrive want rock boat Rock boat Ooh, hey! Rock boat, rock boat Work middle, work middle Work babe, work babe Work middle, work middle Change positions, new positions New positions ooh, new positions Now stroke baby Stroke me, stroke Stroke me, stroke want rock boat Rock boat Rock boat, rock boat hey! Work middle, work middle Work middle ooh, work middle hey! Change positions, new positions New positions ooh, new positions now! Stroke baby, stroke yeah! Stroke me, stroke Stroke Mm, stroke baby, stroke baby Mmmm, work baby, work baby Oooh stroke It There something want want use hey! Like never ever used never! To explore body explore baby! Until reach shore yeah! You'll calling, calling calling! Rock boat, rock boat Ooh! Rock boat, rock boat Work middle, work middle Ooh, work baby, work baby Work middle, work middle Change positions, new positions mmm, change New positions, new positions hey Stroke baby!, stroke Stroke me, stroke want rock boat Rock boat ooh Rock boat ooh, rock boat Work middle, work middle Oh, work baby! Work middle, work middle Change positions, new positions Change! New positions, new positions Stroke me, yeah! stroke Stroke me, stroke Rock boat, rock boat Rock boat, rock boat Work middle, work middle Work middle, work middle Change positions, new positions New positions, new positions Stroke me, stroke Stroke me, stroke Rock boat, rock boat Rock boat, rock boat",R&;B
56750,This Christmas,"This Christmas Hang mistletoe gonna get know better This Christmas And trim tree How much fun it's gonna together This Christmas The fireside blazing bright, woah-oh-oh We're caroling night, woah-oh-oh This Christmas A special Christmas Woah-oh-oh-woah-oh-oh-oh Ha, let's go Woo! Presents cards My world filled cheer This Christmas And look around Your eyes outshine town, This Christmas The fireside blazing bright And caroling night And Christmas A special Christmas me, yeah, huh, woah-oh-oh Oh, haha, shake hand, shake hand Na-na-na-na-na-na Ooh, fireside blazing bright And caroling night And Christmas So special me, yes, Woah-oh-oh, ha Shake hand Come on, everybody shake hand now, ha Family, hey We'll together To make Christmas bright, yes,","R&;B,Christmas,Pop"
